キーX座標[mm],キーY座標[mm],キーX幅[mm],キーY幅[mm],キーストローク[mm],Usage ID,メモ
0.0000,0.0000,19.0500,19.0500,4.0,41,ESC
38.1000,0.0000,19.0500,19.0500,4.0,58,F1
57.1500,0.0000,19.0500,19.0500,4.0,59,F2
76.2000,0.0000,19.0500,19.0500,4.0,60,F3
95.2500,0.0000,19.0500,19.0500,4.0,61,F4
123.8250,0.0000,19.0500,19.0500,4.0,62,F5
142.8750,0.0000,19.0500,19.0500,4.0,63,F6
161.9250,0.0000,19.0500,19.0500,4.0,64,F7
180.9750,0.0000,19.0500,19.0500,4.0,65,F8
209.5500,0.0000,19.0500,19.0500,4.0,66,F9
228.6000,0.0000,19.0500,19.0500,4.0,67,F10
247.6500,0.0000,19.0500,19.0500,4.0,68,F11
266.7000,0.0000,19.0500,19.0500,4.0,69,F12
295.2750,0.0000,19.0500,19.0500,4.0,70,Print Scr.
314.3250,0.0000,19.0500,19.0500,4.0,71,Scroll Lock
333.3750,0.0000,19.0500,19.0500,4.0,72,Pause
0.0000,28.5750,19.0500,19.0500,4.0,53,半角／全角
19.0500,28.5750,19.0500,19.0500,4.0,30,1
38.1000,28.5750,19.0500,19.0500,4.0,31,2
57.1500,28.5750,19.0500,19.0500,4.0,32,3
76.2000,28.5750,19.0500,19.0500,4.0,33,4
95.2500,28.5750,19.0500,19.0500,4.0,34,5
114.3000,28.5750,19.0500,19.0500,4.0,35,6
133.3500,28.5750,19.0500,19.0500,4.0,36,7
152.4000,28.5750,19.0500,19.0500,4.0,37,8
171.4500,28.5750,19.0500,19.0500,4.0,38,9
190.5000,28.5750,19.0500,19.0500,4.0,39,0
209.5500,28.5750,19.0500,19.0500,4.0,45,-
228.6000,28.5750,19.0500,19.0500,4.0,46,^
247.6500,28.5750,19.0500,19.0500,4.0,49,\
266.7000,28.5750,19.0500,19.0500,4.0,42,Back space
0.0000,47.6250,28.5750,19.0500,4.0,43,Tab
28.5750,47.6250,19.0500,19.0500,4.0,20,q
47.6250,47.6250,19.0500,19.0500,4.0,26,w
66.6750,47.6250,19.0500,19.0500,4.0,8,e
85.7250,47.6250,19.0500,19.0500,4.0,21,r
104.7750,47.6250,19.0500,19.0500,4.0,23,t
123.8250,47.6250,19.0500,19.0500,4.0,28,y
142.8750,47.6250,19.0500,19.0500,4.0,24,u
161.9250,47.6250,19.0500,19.0500,4.0,12,I
180.9750,47.6250,19.0500,19.0500,4.0,18,o
200.0250,47.6250,19.0500,19.0500,4.0,19,p
219.0750,47.6250,19.0500,19.0500,4.0,47,@
238.1250,47.6250,19.0500,19.0500,4.0,48,[
0.0000,66.6750,33.3375,19.0500,4.0,57,CapsLk
33.3375,66.6750,19.0500,19.0500,4.0,4,a
52.3875,66.6750,19.0500,19.0500,4.0,22,s
71.4375,66.6750,19.0500,19.0500,4.0,7,d
90.4875,66.6750,19.0500,19.0500,4.0,9,f
109.5375,66.6750,19.0500,19.0500,4.0,10,g
128.5875,66.6750,19.0500,19.0500,4.0,11,h
147.6375,66.6750,19.0500,19.0500,4.0,13,j
166.6875,66.6750,19.0500,19.0500,4.0,14,k
185.7375,66.6750,19.0500,19.0500,4.0,15,l
204.7875,66.6750,19.0500,19.0500,4.0,51,;
223.8375,66.6750,19.0500,19.0500,4.0,52,:
242.8875,66.6750,19.0500,19.0500,4.0,50,]
261.9375,66.6750,23.8125,19.0500,4.0,40,Enter
257.1750,47.6250,28.5750,19.0500,4.0,40,Enter
0.0000,85.7250,42.8625,19.0500,4.0,225,Shift(left)
42.8625,85.7250,19.0500,19.0500,4.0,29,z
61.9125,85.7250,19.0500,19.0500,4.0,27,x
80.9625,85.7250,19.0500,19.0500,4.0,6,c
100.0125,85.7250,19.0500,19.0500,4.0,25,v
119.0625,85.7250,19.0500,19.0500,4.0,5,b
138.1125,85.7250,19.0500,19.0500,4.0,17,n
157.1625,85.7250,19.0500,19.0500,4.0,16,m
176.2125,85.7250,19.0500,19.0500,4.0,54,","
195.2625,85.7250,19.0500,19.0500,4.0,55,.
214.3125,85.7250,19.0500,19.0500,4.0,56,/
