キーX座標[mm],キーY座標[mm],キーX幅[mm],キーY幅[mm],キーストローク[mm],Usage ID,メモ
0.0000,0.0000,19.0500,19.0500,4.0,110,ESC
38.1000,0.0000,19.0500,19.0500,4.0,112,F1
57.1500,0.0000,19.0500,19.0500,4.0,113,F2
76.2000,0.0000,19.0500,19.0500,4.0,114,F3
95.2500,0.0000,19.0500,19.0500,4.0,115,F4
123.8250,0.0000,19.0500,19.0500,4.0,116,F5
142.8750,0.0000,19.0500,19.0500,4.0,117,F6
161.9250,0.0000,19.0500,19.0500,4.0,118,F7
180.9750,0.0000,19.0500,19.0500,4.0,119,F8
209.5500,0.0000,19.0500,19.0500,4.0,120,F9
228.6000,0.0000,19.0500,19.0500,4.0,121,F10
247.6500,0.0000,19.0500,19.0500,4.0,122,F11
266.7000,0.0000,19.0500,19.0500,4.0,123,F12
295.2750,0.0000,19.0500,19.0500,4.0,124,Print Scr.
314.3250,0.0000,19.0500,19.0500,4.0,125,Scroll Lock
333.3750,0.0000,19.0500,19.0500,4.0,126,Pause
0.0000,28.5750,19.0500,19.0500,4.0,1,半角／全角
19.0500,28.5750,19.0500,19.0500,4.0,2,1
38.1000,28.5750,19.0500,19.0500,4.0,3,2
57.1500,28.5750,19.0500,19.0500,4.0,4,3
76.2000,28.5750,19.0500,19.0500,4.0,5,4
95.2500,28.5750,19.0500,19.0500,4.0,6,5
114.3000,28.5750,19.0500,19.0500,4.0,7,6
133.3500,28.5750,19.0500,19.0500,4.0,8,7
152.4000,28.5750,19.0500,19.0500,4.0,9,8
171.4500,28.5750,19.0500,19.0500,4.0,10,9
190.5000,28.5750,19.0500,19.0500,4.0,11,0
209.5500,28.5750,19.0500,19.0500,4.0,12,-
228.6000,28.5750,19.0500,19.0500,4.0,13,^
247.6500,28.5750,19.0500,19.0500,4.0,14,\
266.7000,28.5750,19.0500,19.0500,4.0,15,Back space
0.0000,47.6250,28.5750,19.0500,4.0,16,Tab
28.5750,47.6250,19.0500,19.0500,4.0,17,q
47.6250,47.6250,19.0500,19.0500,4.0,18,w
66.6750,47.6250,19.0500,19.0500,4.0,19,e
85.7250,47.6250,19.0500,19.0500,4.0,20,r
104.7750,47.6250,19.0500,19.0500,4.0,21,t
123.8250,47.6250,19.0500,19.0500,4.0,22,y
142.8750,47.6250,19.0500,19.0500,4.0,23,u
161.9250,47.6250,19.0500,19.0500,4.0,24,I
180.9750,47.6250,19.0500,19.0500,4.0,25,o
200.0250,47.6250,19.0500,19.0500,4.0,26,p
219.0750,47.6250,19.0500,19.0500,4.0,27,@
238.1250,47.6250,19.0500,19.0500,4.0,28,[
0.0000,66.6750,33.3375,19.0500,4.0,30,CapsLk
33.3375,66.6750,19.0500,19.0500,4.0,31,a
52.3875,66.6750,19.0500,19.0500,4.0,32,s
71.4375,66.6750,19.0500,19.0500,4.0,33,d
90.4875,66.6750,19.0500,19.0500,4.0,34,f
109.5375,66.6750,19.0500,19.0500,4.0,35,g
128.5875,66.6750,19.0500,19.0500,4.0,36,h
147.6375,66.6750,19.0500,19.0500,4.0,37,j
166.6875,66.6750,19.0500,19.0500,4.0,38,k
185.7375,66.6750,19.0500,19.0500,4.0,39,l
204.7875,66.6750,19.0500,19.0500,4.0,40,;
223.8375,66.6750,19.0500,19.0500,4.0,41,:
